instance_id,status,ego_tokens,bm25_tokens,sum_tokens,dedup_union_tokens,n_nontrivial_gold,nontrivial_recall_union
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__8b7cc5e0__12b40c7ba3e7,ok,4156,1158,5314,4768,0,
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__ef567ef1__45cc6b34343b,ok,4826,3455,8281,6661,0,
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__92782c7b__5e3038a3d3fd,ok,5166,2061,7227,6127,0,
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__14da06bc__96f7e2949d4f,ok,5203,4950,10153,6798,11,0.2727272727272727
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__36a08326__3ed7f4572534,ok,3545,3435,6980,5385,3,0.3333333333333333
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__07d7817b__7c9e7c1e2acd,ok,1561,958,2519,1685,5,0.0
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__be0b5fff__035fba395593,ok,6458,699,7157,6856,0,
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__9a3d9d3f__9684204f3073,ok,5244,4491,9735,6459,3,0.3333333333333333
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__2bd87230__dd733c4c5c48,ok,1805,1893,3698,2824,0,
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__747c7f60__3f4ac29f9112,ok,5040,2351,7391,6042,1,0.0
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__1665de74__a0214364c36c,ok,4996,5468,10464,6545,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__98bbaed2__0abc70564746,ok,4904,624,5528,5187,5,0.4
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__cbea412a__dc538f6e810b,ok,4242,1185,5427,4788,1,1.0
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__b31d2f53__5a108ff3159c,ok,50,526,576,576,4,0.0
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__eea782b2__f68e4b1a29fc,ok,1424,296,1720,1690,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__2d9d9f71__b1abdc40ee6c,ok,2018,1733,3751,2096,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__5b47b0dd__cc993f0a8d18,ok,4381,961,5342,4605,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__87d9772c__72cdb20552dd,ok,2265,1428,3693,2974,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__3d84a3a4__bcea06730da2,ok,3341,2106,5447,4325,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__72488b59__9ad2e47e0569,ok,1696,648,2344,2134,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__838d3d25__a1f371e78656,ok,5290,982,6272,5868,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__a98dbc6f__c66bf178aae1,ok,4243,3927,8170,5333,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__3d4cfa9c__36ece1c38114,ok,6623,1589,8212,8059,2,1.0
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__d33de279__777d059b10de,ok,3262,1715,4977,4364,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__bb727b6d__cf6b64c6c022,ok,6170,3505,9675,7005,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__bd81816f__e417d3a2d281,ok,3946,1216,5162,4505,4,0.0
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__01d1908e__97e5b5285adf,ok,4449,4294,8743,5311,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__1081c568__ca6e9b5745e8,ok,3938,3403,7341,5869,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__2f838a18__db0b802fc2a8,ok,4360,3759,8119,6106,0,
contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__2f405b15__092370b43fcb,ok,6663,3761,10424,7685,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__c363219b__4858267f3b97,ok,5597,1841,7438,6168,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__908342f0__4d69e56f06d6,ok,3755,1567,5322,4134,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__d3133dfb__8e510650a98a,ok,4996,5608,10604,6150,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__92158fba__ce8ebe1ccce8,ok,5831,5842,11673,7650,3,0.0
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__3c69099b__17ec7757891a,ok,7214,6290,13504,10829,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__37f525d2__15f01789d2a6,ok,5281,1189,6470,5596,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__3be02163__135b15467eda,ok,6779,6797,13576,8446,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__7acaca55__56ed9981da3a,ok,6771,6726,13497,10633,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__0e4346f7__6eacd8a7476e,ok,6539,5085,11624,7164,1,1.0
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__627665a2__c4780e3305b4,ok,6149,5905,12054,7523,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__bdc6ab14__33c305ea6ff6,ok,5222,3131,8353,6373,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__c9cd2b2c__e3bfa50e8f45,ok,6265,1408,7673,6623,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__2dc6f037__750aba282f1a,ok,5742,2916,8658,7662,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__ae8b362a__deb14c853740,ok,6673,3242,9915,7051,1,0.0
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__16860730__5417c89387b6,ok,6370,5900,12270,9112,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__1b6e3d94__2de810e97d5c,ok,5515,982,6497,6142,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__03fdad45__9965a04b5684,ok,4244,1033,5277,4780,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__3a4062fe__43c224ff47e4,ok,3119,2734,5853,3176,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__aa16b8b2__908cc432a599,ok,5562,5023,10585,6557,0,
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__1cadcb7d__4609f22aff1a,ok,5506,3041,8547,6366,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__2fb50735__991883df4d59,ok,1314,759,2073,1774,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__898aa1de__6b9cee5d5233,ok,1739,1061,2800,2229,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__a7aba10f__75404f9ff099,ok,4982,1248,6230,5451,2,0.0
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__c3284db4__375358b6f7d0,ok,4356,3344,7700,5843,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__6f9b5ff2__bca4565b43b4,ok,5268,2976,8244,6999,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__9bdfae2c__0f8eb07edbf2,ok,3867,3838,7705,4508,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__8d36ca39__b00bdc767032,ok,6698,2839,9537,7174,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__04b981d7__0ba283880545,ok,2770,2478,5248,4776,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__9907b12d__b1d2e8d375be,ok,1109,1597,2706,2684,1,0.0
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__4c3f5d3d__d9e863562f73,ok,888,406,1294,1197,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__3cb539ec__b3548fabeab1,ok,5581,1760,7341,6060,13,0.15384615384615385
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__41a5a6f5__fa62bf35e109,ok,4039,3681,7720,4591,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__8d0f55cd__43a929dda5a0,ok,4617,736,5353,4880,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__1ac0bb81__6a96f9ca2297,ok,2063,677,2740,2141,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__73fc043b__414c2ad63dd7,ok,2431,1609,4040,3852,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__b8bf59e7__f22b27378ee9,ok,4084,1424,5508,4431,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__05c53458__38ac830eedf6,ok,3279,2146,5425,3680,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__5aed9f96__fca2ddf44ce5,ok,3956,2177,6133,5554,4,0.0
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__0b0f1e0e__984645eb1a76,ok,4138,3528,7666,6771,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__05c9e61e__194670d1cab8,ok,6340,3631,9971,6677,2,0.5
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__ff629f34__d0b513eb463f,ok,3338,1950,5288,3660,2,0.0
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__6a14056a__b74687c0bbc0,ok,5484,3587,9071,5968,2,0.5
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__8d2ac221__314ce82e479d,ok,6567,1385,7952,7084,1,1.0
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__2aa6fa4c__582cd2e9bc21,ok,5748,1168,6916,6051,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__54ebe590__75e02b5099a0,ok,5509,891,6400,5842,1,0.0
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__7c41997b__d276a4f3e914,ok,4328,3447,7775,5184,1,0.0
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__18eac778__68e5cc6ac8fc,ok,3444,1461,4905,4389,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__04c51be7__0275dd329d24,ok,6828,2670,9498,8706,3,0.0
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__5eee261d__f6babf323631,ok,6386,2725,9111,7136,3,0.3333333333333333
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__6a53360d__dadb3632a0f8,ok,3927,1533,5460,4272,0,
contextbench_verified::Multi-SWE-Bench__typescript__maintenance__bugfix__c8b82135__0e63cbfaf579,ok,5190,2298,7488,6832,7,0.2857142857142857
